species_id	count_reads	coverage	relative_abundance	XIC_008
Bacteroides_vulgatus_57955	330	7.98377219841	0.199050426047	XIC_008
Collinsella_sp_62205	115	2.5916215446	0.0646139894506	XIC_008
Peptoniphilus_sp_58646	114	2.66163597947	0.0663595807257	XIC_008
Bacteroides_faecis_58503	100	2.37925429239	0.0593192752504	XIC_008
Alistipes_onderdonkii_55464	98	2.34828928498	0.0585472594959	XIC_008
Collinsella_aerofaciens_61484	78	1.75837894939	0.0438396875975	XIC_008
Clostridiales_bacterium_61057	75	1.72519232642	0.0430122827972	XIC_008
Peptoniphilus_sp_58372	68	1.60048280024	0.039903040236	XIC_008
Escherichia_coli_58110	66	1.57102672293	0.039168644941	XIC_008
Clostridium_hathewayi_55515	63	1.47478909162	0.0367692601594	XIC_008
Ruminococcus_gnavus_57638	62	1.44617189792	0.0360557798073	XIC_008
Bacteroides_thetaiotaomicron_56941	51	1.19125012777	0.0297001016022	XIC_008
Ruminococcus_lactaris_55568	51	1.17485534961	0.0292913490105	XIC_008
Bacteroides_xylanisolvens_57185	48	1.11275248719	0.0277430080862	XIC_008
Sutterella_wadsworthensis_62218	46	1.01645390071	0.0253421035777	XIC_008
Bacteroides_massiliensis_44749	32	0.805829358771	0.0200908384155	XIC_008
Bacteroides_ovatus_58035	31	0.717168674699	0.0178803611499	XIC_008
Bacteroides_nordii_55557	29	0.727119002325	0.0181284414939	XIC_008
Dorea_formicigenerans_56346	28	0.660633036597	0.0164708215775	XIC_008
Clostridiales_bacterium_56470	26	0.881798715203	0.021984897062	XIC_008
Bacteroides_stercoris_56735	25	0.601641025641	0.0150000400193	XIC_008
Phascolarctobacterium_succinatutens_61948	18	0.417779096213	0.010416017019	XIC_008
Coprococcus_catus_62200	10	0.241723490463	0.00602662032013	XIC_008
Parabacteroides_distasonis_56985	9	0.202351987024	0.00504501484104	XIC_008
Bacteroides_caccae_53434	9	0.21818548794	0.00543977373758	XIC_008
Bacteroides_uniformis_57318	8	0.224174279691	0.00558908555658	XIC_008
Clostridiales_bacterium_52743	8	0.193423202614	0.00482240348683	XIC_008
Escherichia_fergusonii_56914	7	0.162529719448	0.00405217096599	XIC_008
Alistipes_shahii_62199	7	0.175560467319	0.00437705196847	XIC_008
Phascolarctobacterium_succinatutens_59819	7	0.164738455453	0.00410723890028	XIC_008
Faecalibacterium_prausnitzii_57453	7	0.163978494624	0.00408829165038	XIC_008
Parabacteroides_merdae_56972	6	0.140377434655	0.00349987292737	XIC_008
Alistipes_finegoldii_56071	6	0.141756702681	0.00353426066807	XIC_008
Clostridium_sp_60782	5	0.119248543299	0.00297309000799	XIC_008
Subdoligranulum_sp_62068	5	0.125466464952	0.00312811446552	XIC_008
Slackia_piriformis_62217	4	0.095156532496	0.00237243095917	XIC_008
Dorea_longicatena_59913	4	0.0869437076334	0.00216766982028	XIC_008
Holdemania_filiformis_61753	4	0.0868855606759	0.00216622010749	XIC_008
Coprococcus_comes_61587	4	0.0911987256073	0.00227375540483	XIC_008
Escherichia_coli_57907	3	0.0668774552074	0.00166738048395	XIC_008
Bacteroides_rodentium_59708	3	0.0857077468818	0.00213685499891	XIC_008
Parabacteroides_goldsteinii_56831	3	0.0756429652042	0.0018859211006	XIC_008
Bifidobacterium_longum_57796	3	0.0662076271186	0.00165068041247	XIC_008
Catenibacterium_mitsuokai_61547	2	0.0510097855507	0.00127176969659	XIC_008
Erysipelotrichaceae_bacterium_56596	2	0.0440359946391	0.00109789999971	XIC_008
Erysipelotrichaceae_bacterium_55770	1	0.0245676100629	0.000612516631041	XIC_008
Clostridiales_bacterium_52957	1	0.0220551378446	0.000549875982855	XIC_008
Peptoniphilus_harei_62491	1	0.0252755029825	0.000630165730206	XIC_008
Clostridium_sordellii_57678	1	0.024927709642	0.000621494589438	XIC_008
Peptoniphilus_lacrimalis_56996	1	0.0264495264495	0.000659436338822	XIC_008
Enterococcus_faecium_56947	1	0.0248163589438	0.000618718407531	XIC_008
Porphyromonas_somerae_59001	1	0.0198975571316	0.000496083446008	XIC_008
Clostridiaceae_bacterium_58376	1	0.0208454527826	0.000519716263741	XIC_008
Dorea_longicatena_61473	1	0.0246184145741	0.000613783282863	XIC_008
Streptococcus_anginosus_58032	1	0.0247647350173	0.000617431326149	XIC_008
Yaniella_halotolerans_59132	0	0.0	0.0	XIC_008
Thermodesulfovibrio_thiophilus_59110	0	0.0	0.0	XIC_008
Bradyrhizobium_sp_59283	0	0.0	0.0	XIC_008
Rhodopseudomonas_palustris_61217	0	0.0	0.0	XIC_008
Porphyromonas_sp_60792	0	0.0	0.0	XIC_008
Mesorhizobium_sp_61369	0	0.0	0.0	XIC_008
Haemophilus_influenzae_58001	0	0.0	0.0	XIC_008
Arcobacter_sp_55051	0	0.0	0.0	XIC_008
Rhizobium_leguminosarum_57834	0	0.0	0.0	XIC_008
Halomonas_sp_60361	0	0.0	0.0	XIC_008
Coprothermobacter_proteolyticus_61171	0	0.0	0.0	XIC_008
Streptococcus_sobrinus_56802	0	0.0	0.0	XIC_008
Magnetospirillum_magneticum_61293	0	0.0	0.0	XIC_008
Actinobacillus_pleuropneumoniae_57270	0	0.0	0.0	XIC_008
Cronobacter_malonaticus_56861	0	0.0	0.0	XIC_008
Selenomonas_ruminantium_59914	0	0.0	0.0	XIC_008
Anaerosalibacter_sp_60200	0	0.0	0.0	XIC_008
Bacillus_vireti_59178	0	0.0	0.0	XIC_008
Polaromonas_naphthalenivorans_61338	0	0.0	0.0	XIC_008
Atopobium_rimae_61781	0	0.0	0.0	XIC_008
Bradyrhizobium_japonicum_58400	0	0.0	0.0	XIC_008
Caminibacter_mediatlanticus_61405	0	0.0	0.0	XIC_008
Exiguobacterium_sp_60679	0	0.0	0.0	XIC_008
Lactococcus_chungangensis_58904	0	0.0	0.0	XIC_008
Nocardia_sp_59340	0	0.0	0.0	XIC_008
Deinococcus_radiodurans_45653	0	0.0	0.0	XIC_008
Mesorhizobium_sp_60010	0	0.0	0.0	XIC_008
Aquimarina_muelleri_58703	0	0.0	0.0	XIC_008
Salmonella_bongori_55351	0	0.0	0.0	XIC_008
Caulobacter_segnis_61668	0	0.0	0.0	XIC_008
Methylotenera_versatilis_62070	0	0.0	0.0	XIC_008
Bifidobacterium_thermacidophilum_58040	0	0.0	0.0	XIC_008
Exiguobacterium_sp_57070	0	0.0	0.0	XIC_008
Peptostreptococcaceae_bacterium_60690	0	0.0	0.0	XIC_008
Gardnerella_vaginalis_58140	0	0.0	0.0	XIC_008
Orbaceae_bacterium_60326	0	0.0	0.0	XIC_008
Bacillus_endophyticus_54286	0	0.0	0.0	XIC_008
Acetobacter_nitrogenifigens_58657	0	0.0	0.0	XIC_008
Pseudomonas_chloritidismutans_57851	0	0.0	0.0	XIC_008
Pseudomonas_tuomuerensis_55970	0	0.0	0.0	XIC_008
